Date,Open,High,Low,Close
01 November 2013,6731.43,6760.87,6715.3,6734.74
04 November 2013,6734.74,6780.11,6734.56,6763.62
05 November 2013,6763.62,6773.86,6708.52,6746.84
06 November 2013,6746.84,6768.16,6735.64,6741.69
07 November 2013,6741.69,6779.18,6679.99,6697.22
08 November 2013,6697.22,6713.9,6643.86,6708.42
11 November 2013,6708.42,6744.77,6702.01,6728.37
12 November 2013,6728.37,6728.37,6693.26,6726.79
13 November 2013,6726.79,6726.81,6613.98,6630
14 November 2013,6630,6696.16,6630,6666.13
15 November 2013,6666.13,6703.12,6665.45,6693.44
18 November 2013,6693.44,6732.1,6671.63,6723.46
19 November 2013,6723.46,6723.46,6677.85,6698.01
20 November 2013,6698.01,6711.42,6661.7,6681.08
21 November 2013,6681.08,6697.69,6643.47,6681.33
22 November 2013,6681.33,6711.03,6661.04,6674.29
25 November 2013,6674.3,6709.08,6674.3,6694.62
26 November 2013,6694.62,6696.95,6636.22,6636.22
27 November 2013,6636.22,6664.14,6635.71,6649.47
28 November 2013,6649.47,6679.51,6642.57,6654.47
29 November 2013,6654.47,6681.57,6648.53,6650.57
02 December 2013,6650.57,6657.41,6595.2,6595.33
03 December 2013,6595.33,6595.48,6531.34,6532.43
04 December 2013,6532.43,6544.7,6479.73,6509.97
05 December 2013,6509.97,6518.88,6487.15,6498.33
06 December 2013,6498.33,6555.73,6496.33,6551.99
09 December 2013,6551.99,6568.44,6534.74,6559.48
10 December 2013,6559.48,6571.91,6519,6523.31
11 December 2013,6523.31,6555.57,6507.72,6507.72
12 December 2013,6507.72,6507.72,6435.99,6445.25
13 December 2013,6445.25,6462.76,6433.51,6439.96
16 December 2013,6439.96,6531.16,6422.23,6522.2
17 December 2013,6522.2,6522.2,6482.59,6486.19
18 December 2013,6486.19,6524.46,6486.19,6492.08
19 December 2013,6492.08,6584.7,6492.08,6584.7
20 December 2013,6584.7,6616.8,6576.79,6606.58
23 December 2013,6606.58,6678.61,6606.2,6678.61
24 December 2013,6678.61,6712.1,6672.22,6694.17
27 December 2013,6694.17,6754.11,6694.17,6750.87
30 December 2013,6750.87,6768.44,6718.16,6731.27
31 December 2013,6731.27,6756.98,6731.25,6749.09
02 January 2014,6749.09,6759.37,6707.48,6717.91
03 January 2014,6717.91,6747.33,6699.27,6730.67
06 January 2014,6730.67,6751.98,6714.64,6730.73
07 January 2014,6730.73,6768.89,6718.07,6755.45
08 January 2014,6755.45,6755.53,6713.39,6721.78
09 January 2014,6721.78,6746.41,6679.31,6691.34
10 January 2014,6691.34,6769.94,6691.34,6739.94
13 January 2014,6739.94,6765.6,6730.97,6757.15
14 January 2014,6757.15,6772.63,6694.08,6766.86
15 January 2014,6766.86,6825.2,6766.86,6819.86
16 January 2014,6819.86,6831.74,6811.16,6815.42
17 January 2014,6815.42,6840.5,6800,6829.3
20 January 2014,6829.3,6837.53,6810.62,6836.73
21 January 2014,6836.73,6867.42,6822.31,6834.26
22 January 2014,6834.26,6864.87,6821.8,6826.33
23 January 2014,6826.33,6837.21,6760.63,6773.28
24 January 2014,6773.28,6784.42,6654.86,6663.74
27 January 2014,6663.74,6665.39,6539.33,6550.66
28 January 2014,6550.66,6590.66,6550.65,6572.33
29 January 2014,6572.33,6645.23,6482.74,6544.28
30 January 2014,6544.28,6573.92,6503.25,6538.45
31 January 2014,6538.45,6548.46,6421.26,6510.44
03 February 2014,6510.44,6538.3,6459.95,6465.66
